rounds,total_actions,regret,other,bandit,learner
60,1904,0.0,0.0,multi_armed_bandit,BatchRacing
112,3568,0.0,0.0,multi_armed_bandit,BatchRacing
112,3568,0.0,0.0,multi_armed_bandit,BatchRacing
133,4240,0.0,0.0,multi_armed_bandit,BatchRacing
83,2640,0.0,0.0,multi_armed_bandit,BatchRacing
170,5424,0.0,0.0,multi_armed_bandit,BatchRacing
112,3568,0.0,0.0,multi_armed_bandit,BatchRacing
137,4368,0.0,0.0,multi_armed_bandit,BatchRacing
65,2064,0.0,0.0,multi_armed_bandit,BatchRacing
105,3344,0.0,0.0,multi_armed_bandit,BatchRacing
155,4944,0.0,0.0,multi_armed_bandit,BatchRacing
130,4144,0.0,0.0,multi_armed_bandit,BatchRacing
262,8368,0.0,0.0,multi_armed_bandit,BatchRacing
129,4112,0.0,0.0,multi_armed_bandit,BatchRacing
126,4016,0.0,0.0,multi_armed_bandit,BatchRacing
145,4624,0.0,0.0,multi_armed_bandit,BatchRacing
104,3312,0.0,0.0,multi_armed_bandit,BatchRacing
126,4016,0.0,0.0,multi_armed_bandit,BatchRacing
85,2704,0.0,0.0,multi_armed_bandit,BatchRacing
130,4144,0.0,0.0,multi_armed_bandit,BatchRacing
122,3888,0.0,0.0,multi_armed_bandit,BatchRacing
116,3696,0.0,0.0,multi_armed_bandit,BatchRacing
95,3024,0.0,0.0,multi_armed_bandit,BatchRacing
126,4016,0.0,0.0,multi_armed_bandit,BatchRacing
115,3664,0.0,0.0,multi_armed_bandit,BatchRacing
104,3312,0.0,0.0,multi_armed_bandit,BatchRacing
100,3184,0.0,0.0,multi_armed_bandit,BatchRacing
105,3344,0.0,0.0,multi_armed_bandit,BatchRacing
168,5360,0.0,0.0,multi_armed_bandit,BatchRacing
115,3664,0.0,0.0,multi_armed_bandit,BatchRacing
103,3280,0.0,0.0,multi_armed_bandit,BatchRacing
118,3760,0.0,0.0,multi_armed_bandit,BatchRacing
187,5968,0.0,0.0,multi_armed_bandit,BatchRacing
139,4432,0.0,0.0,multi_armed_bandit,BatchRacing
139,4432,0.0,0.0,multi_armed_bandit,BatchRacing
124,3952,0.0,0.0,multi_armed_bandit,BatchRacing
120,3824,0.0,0.0,multi_armed_bandit,BatchRacing
134,4272,0.0,0.0,multi_armed_bandit,BatchRacing
176,5616,0.0,0.0,multi_armed_bandit,BatchRacing
160,5104,0.0,0.0,multi_armed_bandit,BatchRacing
162,5168,0.0,0.0,multi_armed_bandit,BatchRacing
